route,final_url_auth,url_owned,classification,note
/,/dashboard,redirect,WIRED_E2E_VERIFIED,
/dashboard,/dashboard,yes,WIRED_E2E_VERIFIED,
/blueprint,/blueprint/default,redirect,WIRED_E2E_VERIFIED,
/blueprint/default,/blueprint/default,yes,WIRED_E2E_VERIFIED,
/blueprint/preview,/blueprint/preview,yes,WIRED_E2E_VERIFIED,
/simulation,/simulation?step=inspect,yes,WIRED_E2E_VERIFIED,
/simulation?step=inspect,/simulation?step=inspect,yes,WIRED_E2E_VERIFIED,
/simulation?step=configure,/simulation?step=configure,yes,WIRED_E2E_VERIFIED,
/simulation?step=simulate,/simulation?step=simulate,yes,WIRED_E2E_VERIFIED,
/simulation?step=compare,/simulation?step=simulate,yes,WIRED_WITH_LIMITATIONS,Gated: collapses to ?step=simulate with a notice when no run exists in this browser profile
/simulation?step=decide,/simulation?step=simulate,yes,WIRED_WITH_LIMITATIONS,Gated: collapses to ?step=simulate with a notice when no run exists in this browser profile
/simulation/preview,/simulation/preview,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta,/dsx/evidence-beta?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/overview,/dsx/evidence-beta/overview?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/operations,/dsx/evidence-beta/operations/thermal?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,redirect,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/operations/thermal,/dsx/evidence-beta/operations/thermal?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/operations/power,/dsx/evidence-beta/operations/power?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/operations/cooling,/dsx/evidence-beta/operations/cooling?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/operations/compute,/dsx/evidence-beta/operations/compute?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/operations/workload,/dsx/evidence-beta/operations/workload?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/sustainability,/dsx/evidence-beta/sustainability?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/sustainability/financial,/dsx/evidence-beta/sustainability/financial?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/sustainability/sovereignty,/dsx/evidence-beta/sustainability/sovereignty?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/decisions,/dsx/evidence-beta/decisions?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/decisions/log,/dsx/evidence-beta/decisions/log?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/dsx/evidence-beta/assets,/dsx/evidence-beta/assets?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,yes,WIRED_E2E_VERIFIED,
/evidence,/dsx/evidence-beta/evidence?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,redirect,WIRED_E2E_VERIFIED,
/manage/facilities,/manage/facilities,yes,WIRED_E2E_VERIFIED,
/manage/integrations,/manage/integrations,yes,WIRED_E2E_VERIFIED,
/integrations,/manage/integrations,redirect,WIRED_E2E_VERIFIED,
/settings/integrations,/manage/integrations,redirect,WIRED_E2E_VERIFIED,
/marketplace,/marketplace,yes,WIRED_E2E_VERIFIED,
/connect/monitor,/connect/monitor,yes,WIRED_E2E_VERIFIED,
