page,buttons,disabled_buttons,links,inputs,tabs,tables,table_rows,icon_only_without_accessible_name,spinners
/dashboard,34,1,26,2,,0,0,0,0
/blueprint/default,85,1,16,2,Model|Assets & Systems|Controls|Validation|Versions,0,0,0,0
/simulation,81,2,7,2,,0,0,0,0
/dsx/evidence-beta/overview,60,9,29,1,,0,0,0,0
/manage/facilities,37,1,32,1,,0,0,0,0
/manage/integrations,12,2,10,1,,1,8,0,0
/builder,16,1,18,1,,0,0,0,0
/app/agents,14,1,7,1,,0,0,0,0
/analytics,35,1,8,1,Overview|Thermal Analysis|Power & Energy|GPU & Workload|Sovereignty|Simulation Replay,1,3,0,0
/deployments,14,1,7,2,,1,1,0,0
/settings/ai,16,1,7,3,,0,0,1,0
/admin/signups-dashboard,338,1,10,1,All (324)|Pending (304)|Approved (20),1,324,0,0
/search,16,1,7,2,,0,0,0,0
/help,28,1,7,4,,0,0,0,0
/teams,17,1,7,2,Team Members|User Approvals304,0,0,0,0
/connect/monitor,20,1,7,2,,1,5,0,1
