page_or_subpage,route,h1,tabs,classification
Montreal Data centre,/,Montreal Data centre,,see deep-link-refresh-matrix.csv
Montreal Data centre,/dashboard,Montreal Data centre,,see deep-link-refresh-matrix.csv
Montreal Data centre,/blueprint,Montreal Data centre,Model|Assets & Systems|Controls|Validation|Versions,see deep-link-refresh-matrix.csv
Montreal Data centre,/blueprint/default,Montreal Data centre,Model|Assets & Systems|Controls|Validation|Versions,see deep-link-refresh-matrix.csv
No Recommendation to Preview,/blueprint/preview,No Recommendation to Preview,,see deep-link-refresh-matrix.csv
Montreal Data centre - Simulation,/simulation,Montreal Data centre - Simulation,,see deep-link-refresh-matrix.csv
Montreal Data centre - Simulation,/simulation?step=inspect,Montreal Data centre - Simulation,,see deep-link-refresh-matrix.csv
Montreal Data centre - Simulation,/simulation?step=configure,Montreal Data centre - Simulation,,see deep-link-refresh-matrix.csv
Montreal Data centre - Simulation,/simulation?step=simulate,Montreal Data centre - Simulation,Operational scenarios|Proposed designs,see deep-link-refresh-matrix.csv
Montreal Data centre - Simulation,/simulation?step=compare,Montreal Data centre - Simulation,Operational scenarios|Proposed designs,see deep-link-refresh-matrix.csv
Montreal Data centre - Simulation,/simulation?step=decide,Montreal Data centre - Simulation,Operational scenarios|Proposed designs,see deep-link-refresh-matrix.csv
No Recommendation to Preview,/simulation/preview,No Recommendation to Preview,,see deep-link-refresh-matrix.csv
Overview,/dsx/evidence-beta,Overview,,see deep-link-refresh-matrix.csv
Overview,/dsx/evidence-beta/overview,Overview,,see deep-link-refresh-matrix.csv
Thermal,/dsx/evidence-beta/operations,Thermal,,see deep-link-refresh-matrix.csv
Thermal,/dsx/evidence-beta/operations/thermal,Thermal,,see deep-link-refresh-matrix.csv
Power,/dsx/evidence-beta/operations/power,Power,,see deep-link-refresh-matrix.csv
Cooling,/dsx/evidence-beta/operations/cooling,Cooling,,see deep-link-refresh-matrix.csv
Compute,/dsx/evidence-beta/operations/compute,Compute,,see deep-link-refresh-matrix.csv
Workload,/dsx/evidence-beta/operations/workload,Workload,,see deep-link-refresh-matrix.csv
Sustainability: Energy and carbon,/dsx/evidence-beta/sustainability,Sustainability: Energy and carbon,,see deep-link-refresh-matrix.csv
Sustainability: Financial exposure,/dsx/evidence-beta/sustainability/financial,Sustainability: Financial exposure,,see deep-link-refresh-matrix.csv
Sustainability: Sovereignty,/dsx/evidence-beta/sustainability/sovereignty,Sustainability: Sovereignty,,see deep-link-refresh-matrix.csv
Decisions: Results,/dsx/evidence-beta/decisions,Decisions: Results,,see deep-link-refresh-matrix.csv
Decisions: Decision log,/dsx/evidence-beta/decisions/log,Decisions: Decision log,,see deep-link-refresh-matrix.csv
Assets,/dsx/evidence-beta/assets,Assets,,see deep-link-refresh-matrix.csv
Overview,/evidence,Overview,,see deep-link-refresh-matrix.csv
Facilities,/manage/facilities,Facilities,,see deep-link-refresh-matrix.csv
Integrations,/manage/integrations,Integrations,,see deep-link-refresh-matrix.csv
Integrations,/integrations,Integrations,,see deep-link-refresh-matrix.csv
Integrations,/settings/integrations,Integrations,,see deep-link-refresh-matrix.csv
Template Marketplace,/marketplace,Template Marketplace,,see deep-link-refresh-matrix.csv
Sync Monitor,/connect/monitor,Sync Monitor,,see deep-link-refresh-matrix.csv
Data Health,/connect/health,Data Health,,see deep-link-refresh-matrix.csv
Start a new build,/builder,Start a new build,,see deep-link-refresh-matrix.csv
Start a new build,/build,Start a new build,,see deep-link-refresh-matrix.csv
