path,component,shell,kind,tested_authenticated,final_url_authenticated,final_url_anonymous
/,DataCentreTwinLanding,public/App,static,yes,/dashboard,/
/login,SignIn,public/App,static,yes,/dashboard,/login
/sign-out,SignOut,public/App,static,no,,
/twin-datacentre,DataCentreTwinLanding,public/App,static,yes,/blueprint/default,/twin-datacentre
/omniverse-scene,OmniverseScene,public/App,static,yes,/omniverse-scene,/omniverse-scene
/onboarding,Onboarding,public/App,static,yes,/dashboard,/onboarding
/dev-overlays,OverlayFixtures,public/App,static,no,,
*,Navigate,public/App,index/child,no,,
/sign-out,SignOut,public/App,static,no,,
*,PendingApproval,public/App,index/child,no,,
/sign-out,SignOut,public/App,static,no,,
*,AuthorizationError,public/App,index/child,no,,
/pilot/*,PilotShell,public/App,splat,no,,
/sign-out,SignOut,public/App,static,no,,
/*,AuthenticatedShell,public/App,splat,no,,
/pilot/*,PilotShell,public/App,splat,no,,
/sign-out,SignOut,public/App,static,no,,
*,Navigate,public/App,index/child,no,,
/dashboard,Dashboard,authenticated,static,yes,/dashboard,/
/login,AuthenticatedEntryRedirect,authenticated,static,yes,/dashboard,/login
/onboarding,AuthenticatedEntryRedirect,authenticated,static,yes,/dashboard,/onboarding
/builder,Builder,authenticated,static,yes,/builder,/
/deploy,Deploy,authenticated,static,yes,/deploy,/
/deployments,DeploymentHistory,authenticated,static,yes,/deployments,/
/agent/:id,AgentWorkspace,authenticated,dynamic,no,,
/agents/:id/chat,AgentChat,authenticated,dynamic,no,,
/agent-chat,AgentChat,authenticated,static,yes,/dashboard,/
/analytics,IntelligenceDashboard,authenticated,static,yes,/analytics,/
/account/profile,Profile,authenticated,static,yes,/account/profile,/
/account/settings,Settings,authenticated,static,yes,/account/settings,/
/account/access-control,AccessControl,authenticated,static,yes,/account/access-control,/
/admin/onboarding-submissions,OnboardingSubmissions,authenticated,static,yes,/admin/onboarding-submissions,/
/admin/user-approvals,AdminUserApproval,authenticated,static,yes,/admin/user-approvals,/
/admin/asset-preview,AssetPreview,authenticated,static,yes,/admin/asset-preview,/
/admin/asset-pipeline,AssetPipeline,authenticated,static,yes,/admin/asset-pipeline,/
/admin/asset-validation/:assetId,AssetValidation,authenticated,dynamic,no,,
/admin/reference-facility-validation,ReferenceFacilityValidation,authenticated,static,yes,/admin/reference-facility-validation,/
/admin/signups-dashboard,AdminSignupsDashboard,authenticated,static,yes,/admin/signups-dashboard,/
/manage/integrations,Integrations,authenticated,static,yes,/manage/integrations,/
/manage/facilities,ManageFacilities,authenticated,static,yes,/manage/facilities,/
/compliance,Compliance,authenticated,static,yes,/compliance,/
/teams,Teams,authenticated,static,yes,/teams,/
/marketplace,Marketplace,authenticated,static,yes,/marketplace,/
/app/agents,ManageAgents,authenticated,static,yes,/app/agents,/
/app/agents/:slug/detail,AgentDetail,authenticated,dynamic,no,,
/app/agents/:agentId/manage,TwinManage,authenticated,dynamic,no,,
/app/agents/:agentId/operations,AgentOperationsRedirect,authenticated,dynamic,no,,
/twins/:instanceId/manage,TwinManageRedirect,authenticated,dynamic,no,,
/studio/systems/:systemId/manage,SystemManage,authenticated,dynamic,no,,
/data-centre-twin/:id/blueprint,Blueprint,authenticated,dynamic,no,,
/blueprint/preview,BlueprintPreview,authenticated,static,yes,/blueprint/preview,/
/blueprint/:id,Blueprint,authenticated,dynamic,no,,
/simulation,AuraWorkspace,authenticated,static,yes,/simulation?step=inspect,/
/simulation/preview,SimulationPreview,authenticated,static,yes,/simulation/preview,/
/help,Help,authenticated,static,yes,/help,/
/connect/monitor,ConnectMonitor,authenticated,static,yes,/connect/monitor,/
/connect/health,ConnectHealth,authenticated,static,yes,/connect/health,/
/search,Search,authenticated,static,yes,/search,/
/settings/ai,AISettings,authenticated,static,yes,/settings/ai,/
/sign-out,SignOut,authenticated,static,no,,
/playbook,Playbook,authenticated,static,yes,/playbook,/
/data-centre-twin,DataCentreTwin,authenticated,static,yes,/data-centre-twin,/data-centre-twin
/data-centre-twin/:id,DataCentreTwin,authenticated,dynamic,no,,
/omniverse-scene,OmniverseScene,authenticated,static,yes,/omniverse-scene,/omniverse-scene
/twin-debug,TwinDebug,authenticated,static,yes,/twin-debug,/
/digital-twins-demo/funding-intake,FundingIntakeDemo,authenticated,static,yes,/digital-twins-demo/funding-intake,/
/infrastructure,InfrastructurePage,authenticated,static,yes,/infrastructure,/
/dsx/evidence-beta,EvidenceBetaShell,authenticated,static,yes,/dsx/evidence-beta?scenario=cooling_degradation&mode=SIMULATED&run=sim%3Acooling_degradation%3A20260804%3A2026-03-02T08%3A00%3A00.000Z&tick=0,/
overview,OverviewWorkspace,authenticated,index/child,no,,
operations,PreserveNavigate,authenticated,index/child,no,,
operations/thermal,ThermalWorkspace,authenticated,index/child,no,,
operations/power,PowerWorkspace,authenticated,index/child,no,,
operations/cooling,CoolingWorkspace,authenticated,index/child,no,,
operations/compute,NetworkWorkspace,authenticated,index/child,no,,
operations/workload,WorkloadWorkspace,authenticated,index/child,no,,
sustainability,CarbonWorkspace,authenticated,index/child,no,,
sustainability/financial,FinancialWorkspace,authenticated,index/child,no,,
sustainability/sovereignty,SovereigntyWorkspace,authenticated,index/child,no,,
decisions,SimulationsWorkspace,authenticated,index/child,no,,
decisions/log,EvidenceWorkspace,authenticated,index/child,no,,
assets,FacilityWorkspace,authenticated,index/child,no,,
thermal,ThermalWorkspace,authenticated,index/child,no,,
power,PowerWorkspace,authenticated,index/child,no,,
cooling,CoolingWorkspace,authenticated,index/child,no,,
network,NetworkWorkspace,authenticated,index/child,no,,
facility,FacilityWorkspace,authenticated,index/child,no,,
workload,WorkloadWorkspace,authenticated,index/child,no,,
simulations,SimulationsWorkspace,authenticated,index/child,no,,
sovereignty,SovereigntyWorkspace,authenticated,index/child,no,,
