route,final_url,title,h1,purpose,navigation,hierarchy,task_completion,consistency,data_honesty,accessibility,responsive,error_recovery,overall,axe_violations,tiny_text,hardcoded_bw,unnamed_controls,console_errors,spinners
/,http://localhost:8080/dashboard,Montreal Data centre | AURA command centre,Montreal Data centre,3,1,3,2,3,4,4,3,2,2.8,0,40,1,0,0,0
/auth,http://localhost:8080/dashboard,Montreal Data centre | AURA command centre,Montreal Data centre,3,4,3,4,3,4,4,3,3,3.4,0,40,1,0,0,0
/login,http://localhost:8080/dashboard,Montreal Data centre | AURA command centre,Montreal Data centre,3,1,3,2,3,4,4,3,2,2.8,0,40,1,0,0,0
/sign-in,http://localhost:8080/dashboard,Montreal Data centre | AURA command centre,Montreal Data centre,3,4,3,4,3,4,4,3,3,3.4,0,40,1,0,0,0
/sign-up,http://localhost:8080/dashboard,Montreal Data centre | AURA command centre,Montreal Data centre,3,4,3,4,3,4,4,3,3,3.4,0,40,1,0,0,0
/sign-out,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/forgot-password,http://localhost:8080/forgot-password,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,Sovereign AI Twin Studio,3,4,3,4,3,3,5,3,3,3.4,0,0,1,0,0,0
/mfa,http://localhost:8080/mfa,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,Sovereign AI Twin Studio,3,4,3,4,3,3,5,3,3,3.4,0,0,1,0,0,0
/twin-datacentre,http://localhost:8080/twin-datacentre,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/data-centre-twin,http://localhost:8080/data-centre-twin,Data Centre Twin | Demo Mode,Montreal Sovereign AI Data Centre,3,1,3,2,4,3,3,3,2,2.7,0,53,0,3,0,0
/omniverse-scene,http://localhost:8080/omniverse-scene,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,AURA Twin Preview,3,4,3,4,3,4,4,3,3,3.4,0,5,2,0,0,0
/onboarding,http://localhost:8080/onboarding,Start Onboarding | M2M AURA,,2,4,3,2,4,3,3,3,3,3.0,1,0,0,1,0,1
/dev-overlays,http://localhost:8080/dev-overlays,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,Overlay focus-ring fixtures,3,4,3,4,4,3,5,3,3,3.6,0,0,0,0,0,0
/pilot,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/dashboard,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/builder,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/deploy,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/deployments,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,1,3,2,3,3,4,3,2,2.7,0,8,5,0,0,0
/agent/default,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
/agents/default/chat,http://localhost:8080/,M2M AURA | Sovereign AI Data Centre Digital Twin Platform,M2M AURA - Sovereign AI Data Centre Digi,3,4,3,4,3,3,4,3,3,3.3,0,8,5,0,0,0
