route,current_data_source,hardcoded,local_fixtures,localstorage,database,fallback,appears_operational,replacement_source,migration_status
/,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/*,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/account/access-control,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/account/profile,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/account/settings,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/asset-pipeline,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/asset-preview,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/asset-validation/:assetId,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/dsx-capabilities,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/onboarding-submissions,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/reference-facility-validation,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/signups-dashboard,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/admin/user-approvals,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/agent-chat,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/agent/:id,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/agents/:id/chat,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/analytics,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/app/agents,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/app/agents/:agentId/manage,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/app/agents/:agentId/operations,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/app/agents/:slug/detail,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/auth,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/blueprint/:id,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/blueprint/preview,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/builder,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
/compliance,legacy synthetic / component-local defaults (see mock-removal-matrix.csv),unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,unknown-pending-page-audit,nvidia-dsx-reference (src/data/dsxReference),NOT_STARTED
