migration,tables_created,grants_present,static_issues
20251209160634_remix_migration_from_pg_dump.sql,agent_action_logs;agent_activity_logs;agent_conversations;agent_custom_questions;agent_drafts;agent_environments;agent_exports;agent_integrations;agent_memory;agent_messages;agent_runs;agent_runtime_status;agent_suggestions_cache;agent_templates;agent_versions;agent_workflows;agents;ai_recommendations_cache;audit_logs;capture_cache;captured_pages;cloud_deployments;contact_expert_logs;content_embeddings;copilot_events;copilot_memory;copilot_sessions;copilot_sessions_cache;crawl_jobs;departments;deployment_tracking;deployments;digital_twin_runs;digital_twins;document_analysis_jobs;documents;environments;funding_programs;heartbeats;indexed_content;industry_agents;industry_templates;integration_logs;integration_sync_logs;integrations;integrations_connections;integrations_tokens;intelligence_settings;knowledge_sources;m2m_templates;mcp_credentials;mcp_servers_catalog;mcp_sync_runs;mcp_tokens;system_health;oauth_states;organizations;page_classifications;page_summaries;policies;policy_audit;policy_bindings;profiles;rag_chunks;rag_documents;rag_items;rag_tokens;recommendations;roi_assumptions;roi_snapshots;scraper_logs;search_analytics;search_history;site_crawls;site_pages;sites;sovereign_dc_facilities;sovereign_dc_simulation_runs;system_builder_state;system_events;system_integrations;team_invites;user_roles;website_content_cache;workflow_edges;workflow_nodes;workflow_run_events;workflow_runs;workflows;zapier_apps,none,create_without_grant:agent_action_logs;create_without_grant:agent_activity_logs;create_without_grant:agent_conversations;create_without_grant:agent_custom_questions;create_without_grant:agent_drafts;create_without_grant:agent_environments;create_without_grant:agent_exports;create_without_grant:agent_integrations;create_without_grant:agent_memory;create_without_grant:agent_messages;create_without_grant:agent_runs;create_without_grant:agent_runtime_status;create_without_grant:agent_suggestions_cache;create_without_grant:agent_templates;create_without_grant:agent_versions;create_without_grant:agent_workflows;create_without_grant:agents;create_without_grant:ai_recommendations_cache;create_without_grant:audit_logs;create_without_grant:capture_cache;create_without_grant:captured_pages;create_without_grant:cloud_deployments;create_without_grant:contact_expert_logs;create_without_grant:content_embeddings;create_without_grant:copilot_events;create_without_grant:copilot_memory;create_without_grant:copilot_sessions;create_without_grant:copilot_sessions_cache;create_without_grant:crawl_jobs;create_without_grant:departments;create_without_grant:deployment_tracking;create_without_grant:deployments;create_without_grant:digital_twin_runs;create_without_grant:digital_twins;create_without_grant:document_analysis_jobs;create_without_grant:documents;create_without_grant:environments;create_without_grant:funding_programs;create_without_grant:heartbeats;create_without_grant:indexed_content;create_without_grant:industry_agents;create_without_grant:industry_templates;create_without_grant:integration_logs;create_without_grant:integration_sync_logs;create_without_grant:integrations;create_without_grant:integrations_connections;create_without_grant:integrations_tokens;create_without_grant:intelligence_settings;create_without_grant:knowledge_sources;create_without_grant:m2m_templates;create_without_grant:mcp_credentials;create_without_grant:mcp_servers_catalog;create_without_grant:mcp_sync_runs;create_without_grant:mcp_tokens;create_without_grant:system_health;create_without_grant:oauth_states;create_without_grant:organizations;create_without_grant:page_classifications;create_without_grant:page_summaries;create_without_grant:policies;create_without_grant:policy_audit;create_without_grant:policy_bindings;create_without_grant:profiles;create_without_grant:rag_chunks;create_without_grant:rag_documents;create_without_grant:rag_items;create_without_grant:rag_tokens;create_without_grant:recommendations;create_without_grant:roi_assumptions;create_without_grant:roi_snapshots;create_without_grant:scraper_logs;create_without_grant:search_analytics;create_without_grant:search_history;create_without_grant:site_crawls;create_without_grant:site_pages;create_without_grant:sites;create_without_grant:sovereign_dc_facilities;create_without_grant:sovereign_dc_simulation_runs;create_without_grant:system_builder_state;create_without_grant:system_events;create_without_grant:system_integrations;create_without_grant:team_invites;create_without_grant:user_roles;create_without_grant:website_content_cache;create_without_grant:workflow_edges;create_without_grant:workflow_nodes;create_without_grant:workflow_run_events;create_without_grant:workflow_runs;create_without_grant:workflows;create_without_grant:zapier_apps;permissive_true_policy
20251210005210_d6487de0-0ce4-48bc-9f18-9ab49c8f5358.sql,none,none,none
20251210010204_696d7788-e514-4dd6-b244-44913022649d.sql,none,none,none
20251210032625_0243a383-7873-4785-9fba-35924b2719a1.sql,agent_definitions;agent_definition_runs;twin_agent_bindings,none,create_without_grant:agent_definitions;create_without_grant:agent_definition_runs;create_without_grant:twin_agent_bindings
20251210033908_baac1120-6f3f-4a70-8a97-b6243ee72d47.sql,dc_scan_sessions;dc_blueprint_templates,none,create_without_grant:dc_scan_sessions;create_without_grant:dc_blueprint_templates;permissive_true_policy
20251210035930_9d8461f8-bf20-4982-b2b3-e7b541f01390.sql,data_centre_twins;twin_telemetry;twin_kpi_snapshots;twin_simulation_runs;twin_sovereignty_events;twin_carbon_emissions;twin_financial_records,none,create_without_grant:data_centre_twins;create_without_grant:twin_telemetry;create_without_grant:twin_kpi_snapshots;create_without_grant:twin_simulation_runs;create_without_grant:twin_sovereignty_events;create_without_grant:twin_carbon_emissions;create_without_grant:twin_financial_records
20251210154256_1d3d5af4-7144-4e93-867c-590124704414.sql,data_centre_locations,none,create_without_grant:data_centre_locations
20251210161218_24842690-23ac-4584-b6a3-c4d5e4de2284.sql,none,none,none
20251211160930_a2b70e13-b985-4f8c-b6b1-3176e8ad8fb6.sql,simulation_runs,none,create_without_grant:simulation_runs
20251211234933_b6d2e072-6b68-461f-b36d-dfed0429f21d.sql,none,none,none
