function,lines,static_issues
agent-create,67,no_authorization_check
agent-draft-from-reco,195,no_authorization_check
agent-execute,208,none
agent-export,164,no_authorization_check
agent-plan-chat,135,none
agent-run,143,none
agent-stream,227,none
agent-suggestions,307,uses_service_role_key
agents-deploy,105,no_authorization_check
agents-list,90,no_authorization_check
agents-rollback,57,no_authorization_check
ai-config,64,wildcard_cors;no_authorization_check
ai-systems,104,no_authorization_check
ai-systems-unified,274,no_authorization_check
analytics-export,115,no_authorization_check
analytics-overview,165,no_authorization_check
analytics-systems,125,no_authorization_check
analyze-document-with-gemini,230,none
analyze-file,210,none
aoc-environment-promotion,162,wildcard_cors
aoc-runtime-action,151,wildcard_cors
aoc-runtime-control,179,uses_service_role_key;wildcard_cors
aoc-simulate-test,136,uses_service_role_key;wildcard_cors
arcade-servers,1243,wildcard_cors;possible_secret_logging
builder-generate-summary,215,none
builder-infer-goal,166,none
builder-test,59,no_authorization_check
builders-create,97,no_authorization_check
builders-deploy,170,no_authorization_check
builders-get,129,no_authorization_check
builders-update,105,no_authorization_check
catalog-mcp,184,wildcard_cors
catalog-templates-industry,101,no_authorization_check
catalog-templates-m2m,101,no_authorization_check
chat-with-twin,101,wildcard_cors
classify-content,183,none
classify-intent,141,wildcard_cors
copilot-chat,187,none
copilot-chat-simple,130,wildcard_cors
copilot-health,210,wildcard_cors
copilot-router,198,wildcard_cors
copilot-search,718,wildcard_cors
copilot-stream,1113,wildcard_cors;possible_secret_logging
dc-create-twin-from-recommendation,179,uses_service_role_key;wildcard_cors
dc-scan-url,369,uses_service_role_key;wildcard_cors
deterministic-recommendations,296,wildcard_cors
digital-twin-create,76,no_authorization_check
digital-twin-delete,58,no_authorization_check
digital-twin-event,221,wildcard_cors
digital-twin-get,59,no_authorization_check
digital-twin-list,72,no_authorization_check
digital-twin-run-get,193,wildcard_cors
digital-twin-runs-list,193,wildcard_cors
digital-twin-runtime,189,wildcard_cors
digital-twin-update,75,no_authorization_check
document-analysis-start,237,no_authorization_check
document-analysis-status,76,no_authorization_check
dsx-ingest,479,uses_service_role_key;wildcard_cors;possible_secret_logging
funding-query,115,wildcard_cors;no_authorization_check
