module,classification,evidence_referrers
src/components/AgentsList.tsx,likely_unreachable,./AUDIT_REPORT.md;./REFACTORING_GUIDE.md
src/components/CoPilotDrawer.tsx,likely_unreachable,./REFACTORING_GUIDE.md;./REFACTORING_SUMMARY.md
src/components/CoPilotVoice.tsx,false_positive,./src/components/CoPilotDrawer.tsx
src/components/HealthCheck.tsx,proven_unreachable,
src/components/KeyboardShortcutsDialog.tsx,likely_unreachable,./BUILDER_PHASE_3F_STATUS.md
src/components/OnboardingWizard.tsx,proven_unreachable,
src/components/SmartSuggestions.tsx,proven_unreachable,
src/components/TrustBadge.tsx,proven_unreachable,
src/components/UploadZone.tsx,likely_unreachable,./BUILDER_AUDIT.md;./BUILDER_PHASE_2B_PLAN.md
src/components/agent-chat/AgentChatSidebar.tsx,proven_unreachable,
src/components/agents/AgentCard.tsx,false_positive,./src/components/templates/StandardizedTemplatePreview.tsx
src/components/agents/AgentDefinitionCard.tsx,proven_unreachable,
src/components/analytics/AnalyticsFilters.tsx,proven_unreachable,
src/components/analytics/ROIChart.tsx,proven_unreachable,
src/components/aoc/AOCActivityStream.tsx,likely_unreachable,./AOC_IMPLEMENTATION_COMPLETE.md;./src/components/aoc/README.md
src/components/aoc/AOCAgentSidebar.tsx,likely_unreachable,./AOC_IMPLEMENTATION_COMPLETE.md;./src/components/aoc/README.md
src/components/aoc/AOCAlertsPanel.tsx,likely_unreachable,./AOC_IMPLEMENTATION_COMPLETE.md;./src/components/aoc/README.md
src/components/aoc/AOCCollaborationPanel.tsx,likely_unreachable,./AOC_IMPLEMENTATION_COMPLETE.md;./src/components/aoc/README.md
src/components/aoc/AOCCommandPalette.tsx,likely_unreachable,./AOC_IMPLEMENTATION_COMPLETE.md;./src/components/aoc/README.md
src/components/aoc/AOCEnvironmentManager.tsx,likely_unreachable,./AOC_IMPLEMENTATION_COMPLETE.md;./src/components/aoc/README.md
