migration,object_name,object_type,in_migration_grant,later_migration_explicit_grant,alter_default_privileges_source,effective_catalog_privilege_authenticated,effective_catalog_privilege_service_role,effective_catalog_privilege_anon,rls_enabled,hermetic_replay_safe,classification,secondary_classification,rationale
20251209160634_remix_migration_from_pg_dump.sql,agent_action_logs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_activity_logs,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_conversations,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_custom_questions,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_drafts,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_environments,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_exports,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_integrations,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_memory,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
20251209160634_remix_migration_from_pg_dump.sql,agent_messages,table (public schema),absent,no,Supabase project bootstrap (outside repo migration set),present,present,revoked by B-03 (exception: onboarding_submissions INSERT),yes,no,platform_managed_privilege,migration_nonhermetic,"no in-repo GRANT at any point. The effective privilege originates from the Supabase project bootstrap ALTER DEFAULT PRIVILEGES IN SCHEMA public, which is not part of the repository migration set. A clean replay into an empty non-Supabase Postgres would produce NO privilege; correctness therefore depends on platform state, not on the migrations. Not a false positive."
