file,suite_path,case_name,failure_stage,reason,invariant_coverage,status
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > loadAllTemplates,should return exactly 1 template (Data Centre Master),transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > loadAllTemplates,should have valid schema for the Data Centre template,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > loadAllTemplates,should have required fields,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > loadTemplateById,should load Data Centre template by id,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > loadTemplateById,should return null for non-existent template,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > Data Centre Template Schema Validation,should validate RAG configuration,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > Data Centre Template Schema Validation,should validate LLM configuration,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > Data Centre Template Schema Validation,should validate workflow structure,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > Data Centre Template Schema Validation,should validate metrics defaults,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > Data Centre Specific Validation,should have 9 domain twins configuration,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > Data Centre Specific Validation,should have simulation scenarios,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/unit/templateLoader.test.ts,Template Loader - Data Centre Only > Data Centre Specific Validation,should have DC-specific KPIs,transform/collection (before any describe() body executes),unresolved import @jest/globals,Data Centre is the exclusive master template,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > validate endpoint,should validate when required secrets exist,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
tests/integration/template-validation.test.ts,Template Validation Integration Tests > validate endpoint,should fail validation with clear message when secrets missing,transform/collection (before any describe() body executes),unresolved import @jest/globals,n/a,UNVERIFIED - never executed
