ordinal,migration,status,duration_ms,failure_identity,schema_effect,manual_dependency,environment_assumption
1,20251209160634_remix_migration_from_pg_dump.sql,blocked_preflight,,n/a_not_executed,,,not_measured
2,20251210005210_d6487de0-0ce4-48bc-9f18-9ab49c8f5358.sql,blocked_preflight,,n/a_not_executed,,,not_measured
3,20251210010204_696d7788-e514-4dd6-b244-44913022649d.sql,blocked_preflight,,n/a_not_executed,,,not_measured
4,20251210032625_0243a383-7873-4785-9fba-35924b2719a1.sql,blocked_preflight,,n/a_not_executed,,,not_measured
5,20251210033908_baac1120-6f3f-4a70-8a97-b6243ee72d47.sql,blocked_preflight,,n/a_not_executed,,,not_measured
6,20251210035930_9d8461f8-bf20-4982-b2b3-e7b541f01390.sql,blocked_preflight,,n/a_not_executed,,,not_measured
7,20251210154256_1d3d5af4-7144-4e93-867c-590124704414.sql,blocked_preflight,,n/a_not_executed,,,not_measured
8,20251210161218_24842690-23ac-4584-b6a3-c4d5e4de2284.sql,blocked_preflight,,n/a_not_executed,,,not_measured
9,20251211160930_a2b70e13-b985-4f8c-b6b1-3176e8ad8fb6.sql,blocked_preflight,,n/a_not_executed,,,not_measured
10,20251211234933_b6d2e072-6b68-461f-b36d-dfed0429f21d.sql,blocked_preflight,,n/a_not_executed,,,not_measured
11,20251215025535_d8b5f197-92b4-4311-ac40-6fc76d311db7.sql,blocked_preflight,,n/a_not_executed,,,not_measured
12,20260206150808_4cb276a5-a341-4b08-a939-83ac1e9b5bcc.sql,blocked_preflight,,n/a_not_executed,,,not_measured
13,20260212035209_61e2d774-6a40-4d87-9762-b503050b64ad.sql,blocked_preflight,,n/a_not_executed,,,not_measured
14,20260212133602_bf66e00b-576a-44ac-bed1-89ab3179b68f.sql,blocked_preflight,,n/a_not_executed,,,not_measured
15,20260218142636_a59bb8cb-5e00-4e13-b63d-19eb97d7d4bb.sql,blocked_preflight,,n/a_not_executed,,,not_measured
16,20260218143534_31cc19e1-4fb9-4966-a613-ae0ca9085c16.sql,blocked_preflight,,n/a_not_executed,,,not_measured
17,20260323173624_97384e28-beb3-4f8d-8d4b-dbadd65d6f9e.sql,blocked_preflight,,n/a_not_executed,,,not_measured
18,20260724005954_e17e6492-dc51-46f8-bb87-642071501b8b.sql,blocked_preflight,,n/a_not_executed,,,not_measured
19,20260727130319_4a37f3a0-40c6-4239-a538-24ca763524a8.sql,blocked_preflight,,n/a_not_executed,,,not_measured
20,20260727130656_80c3b9f7-d3d9-4e42-9ca1-58637654ae4b.sql,blocked_preflight,,n/a_not_executed,,,not_measured
21,20260727130809_39726fbf-8483-4113-9ae4-f1c4fe590b28.sql,blocked_preflight,,n/a_not_executed,,,not_measured
22,20260727130904_e616a2e8-0b8f-489b-b991-65691db131a9.sql,blocked_preflight,,n/a_not_executed,,,not_measured
23,20260727131025_7eca23fe-318b-4668-b875-e64af0370c27.sql,blocked_preflight,,n/a_not_executed,,,not_measured
24,20260731185028_01b5764d-1ffd-480a-a835-acc0b51997fd.sql,blocked_preflight,,n/a_not_executed,,,not_measured
25,20260804032041_0eb02d7f-aa2b-45e4-80c6-e3077b83805e.sql,blocked_preflight,,n/a_not_executed,,,not_measured
26,20260804032127_4ab5dcd5-f35d-41b7-886f-075bc690c477.sql,blocked_preflight,,n/a_not_executed,,,not_measured
27,20260805201525_6f5508ef-c912-4e58-9b9e-bb2f0ba54f48.sql,blocked_preflight,,n/a_not_executed,,,not_measured
28,20260805201743_3d0c9661-de85-407b-b692-0a677304da70.sql,blocked_preflight,,n/a_not_executed,,,not_measured
29,20260805205227_03768dd2-2daa-4482-bbea-618ccf42cc7a.sql,blocked_preflight,,n/a_not_executed,,,not_measured
30,20260805205309_2b57e794-9a67-4c9a-8e8c-3035efd8a47c.sql,blocked_preflight,,n/a_not_executed,,,not_measured
31,20260807142936_074153c1-7999-4bdf-8b36-4c150ab8ed65.sql,blocked_preflight,,n/a_not_executed,,,not_measured
32,20260807143113_418ecd74-0115-4c03-bf35-59f8c6cc205e.sql,blocked_preflight,,n/a_not_executed,,,not_measured
33,20260807143223_e55462eb-82b3-402e-b7f5-c66f63edbe65.sql,blocked_preflight,,n/a_not_executed,,,not_measured
34,20260807143324_ef7c5f4c-3b03-4e99-8793-e55129cd5f0c.sql,blocked_preflight,,n/a_not_executed,,,not_measured
35,20260807143519_f68fa375-b6a6-4786-ade1-c2c104d136ce.sql,blocked_preflight,,n/a_not_executed,,,not_measured
