Order	Filename	Created	Altered	Dropped	DataMutation
01	20251209160634_remix_migration_from_pg_dump.sql	extensions:pg_cron,pg_graphql,pg_stat_statements,pgcrypto,plpgsql,supabase_vault,uuid-ossp,vector; types:app_role,policy_decision,policy_scope,policy_target_type,...; tables:100+ incl. user_roles,profiles,agents,data_centre_twins,twin_kpi_snapshots,data_centre_locations,role_change_audit references (see file); functions:has_role,check_user_has_role,user_has_role,handle_new_user,generate_avatar_color,generate_initials,rpc_kpi_*,vector ops (~200 total); many indexes; many policies; grants	n/a (fresh)	n/a	seed rows likely embedded (system defaults)
02	20251210005210_d6487de0-0ce4-48bc-9f18-9ab49c8f5358.sql	policy user_roles read (name replaces prior)	user_roles policies	3 legacy read policies (IF EXISTS)	none
03	20251210010204_696d7788-e514-4dd6-b244-44913022649d.sql	see file			none
04	20251210032625_0243a383-7873-4785-9fba-35924b2719a1.sql	multiple CREATE POLICY on agents, agent_runs, twin_agent_bindings			none
05	20251210033908_baac1120-6f3f-4a70-8a97-b6243ee72d47.sql	policies on dc_scan_sessions, dc_blueprint_templates			none
06	20251210035930_9d8461f8-bf20-4982-b2b3-e7b541f01390.sql	policies on twin_* tables			none
07	20251210154256_1d3d5af4-7144-4e93-867c-590124704414.sql	4 policies on data_centre_locations			none
08	20251210161218_24842690-23ac-4584-b6a3-c4d5e4de2284.sql	see file			none
09	20251211160930_a2b70e13-b985-4f8c-b6b1-3176e8ad8fb6.sql	4 policies on sovereign_dc_simulation_runs / simulation_runs			none
10	20251211234933_b6d2e072-6b68-461f-b36d-dfed0429f21d.sql	user_roles_read_own, user_roles_insert_own, user_roles_update_own, user_roles_delete_own	user_roles policies	many legacy user_roles policies (IF EXISTS)	none
11	20251215025535_d8b5f197-92b4-4311-ac40-6fc76d311db7.sql	3 policies on user_preferences			none
12	20260206150808_4cb276a5-a341-4b08-a939-83ac1e9b5bcc.sql	3 replacement policies		3 legacy insert policies	none
13	20260212035209_61e2d774-6a40-4d87-9762-b503050b64ad.sql	policies			none
14	20260212133602_bf66e00b-576a-44ac-bed1-89ab3179b68f.sql	2 policies		1 legacy select policy	none
15	20260218142636_a59bb8cb-5e00-4e13-b63d-19eb97d7d4bb.sql	see file			none
16	20260218143534_31cc19e1-4fb9-4966-a613-ae0ca9085c16.sql	see file			none
17	20260323173624_97384e28-beb3-4f8d-8d4b-dbadd65d6f9e.sql	4 replacement policies		1 legacy policy	none
18	20260724005954_e17e6492-dc51-46f8-bb87-642071501b8b.sql	policy user_roles_read_own (guarded), policy role_change_audit_admin_read, table role_change_audit, functions is_approved_user, admin_assign_role, admin_revoke_role	user_roles grants (REVOKE INSERT/UPDATE/DELETE from anon+authenticated; GRANT SELECT to authenticated; GRANT ALL to service_role)	user_roles_insert_own, user_roles_update_own, user_roles_delete_own and 4 legacy 'Users can *' user_roles policies	none
