function,wildcard_cors,service_role,jwt_verified_in_code,classification
_shared,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
agent-create,False,False,False,scoped-cors
agent-draft-from-reco,False,False,False,scoped-cors
agent-execute,False,False,True,scoped-cors
agent-export,False,False,False,scoped-cors
agent-plan-chat,False,False,True,scoped-cors
agent-run,False,False,True,scoped-cors
agent-stream,False,False,True,scoped-cors
agent-suggestions,False,True,True,scoped-cors
agents-deploy,False,False,False,scoped-cors
agents-list,False,False,False,scoped-cors
agents-rollback,False,False,False,scoped-cors
ai-config,True,False,False,"wildcard-cors, unauthenticated (public endpoint - confirm intent)"
ai-systems,False,False,False,scoped-cors
ai-systems-unified,False,False,False,scoped-cors
analytics-export,False,False,False,scoped-cors
analytics-overview,False,False,False,scoped-cors
analytics-systems,False,False,False,scoped-cors
analyze-document-with-gemini,False,False,True,scoped-cors
analyze-file,False,False,True,scoped-cors
aoc-environment-promotion,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
aoc-runtime-action,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
aoc-runtime-control,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
aoc-simulate-test,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
arcade-servers,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
builder-generate-summary,False,False,True,scoped-cors
builder-infer-goal,False,False,True,scoped-cors
builder-test,False,False,False,scoped-cors
builders-create,False,False,False,scoped-cors
builders-deploy,False,False,False,scoped-cors
builders-get,False,False,False,scoped-cors
builders-update,False,False,False,scoped-cors
canary-deploy,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
catalog-mcp,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
catalog-templates-industry,False,False,False,scoped-cors
catalog-templates-m2m,False,False,False,scoped-cors
chat-with-twin,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
classify-content,False,False,True,scoped-cors
classify-intent,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
connection-credential,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
connection-health-check,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
connection-provision,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
copilot-chat,False,False,True,scoped-cors
copilot-chat-simple,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
copilot-health,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
copilot-router,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
copilot-search,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
copilot-stream,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
dc-create-twin-from-recommendation,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
dc-scan-url,True,True,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
deterministic-recommendations,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
digital-twin-create,False,False,False,scoped-cors
digital-twin-delete,False,False,False,scoped-cors
digital-twin-event,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
digital-twin-get,False,False,False,scoped-cors
digital-twin-list,False,False,False,scoped-cors
digital-twin-run-get,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
digital-twin-runs-list,True,False,True,"wildcard-cors + in-code auth (acceptable: browser-invoked, bearer-gated)"
