function,wildcard_cors,service_role,in_code_auth,class
agent-create,False,False,False,scoped-cors
agent-draft-from-reco,False,False,False,scoped-cors
agent-execute,False,False,True,scoped-cors
agent-export,False,False,False,scoped-cors
agent-plan-chat,False,False,True,scoped-cors
agent-run,False,False,True,scoped-cors
agent-stream,False,False,True,scoped-cors
agent-suggestions,False,True,True,scoped-cors
agents-deploy,False,False,False,scoped-cors
agents-list,False,False,False,scoped-cors
agents-rollback,False,False,False,scoped-cors
ai-config,True,False,False,"wildcard, no service role"
ai-systems,False,False,False,scoped-cors
ai-systems-unified,False,False,False,scoped-cors
analytics-export,False,False,False,scoped-cors
analytics-overview,False,False,False,scoped-cors
analytics-systems,False,False,False,scoped-cors
analyze-document-with-gemini,False,False,True,scoped-cors
analyze-file,False,False,True,scoped-cors
aoc-environment-promotion,True,False,True,wildcard + in-code auth
aoc-runtime-action,True,False,True,wildcard + in-code auth
aoc-runtime-control,True,True,True,wildcard + in-code auth
aoc-simulate-test,True,True,True,wildcard + in-code auth
arcade-servers,True,False,True,wildcard + in-code auth
builder-generate-summary,False,False,True,scoped-cors
builder-infer-goal,False,False,True,scoped-cors
builder-test,False,False,False,scoped-cors
builders-create,False,False,False,scoped-cors
builders-deploy,False,False,False,scoped-cors
builders-get,False,False,False,scoped-cors
builders-update,False,False,False,scoped-cors
canary-deploy,True,True,True,wildcard + in-code auth
catalog-mcp,True,False,True,wildcard + in-code auth
catalog-templates-industry,False,False,False,scoped-cors
catalog-templates-m2m,False,False,False,scoped-cors
chat-with-twin,True,False,True,wildcard + in-code auth
classify-content,False,False,True,scoped-cors
classify-intent,True,False,True,wildcard + in-code auth
connection-credential,True,True,True,wildcard + in-code auth
connection-health-check,True,True,True,wildcard + in-code auth
connection-provision,True,True,True,wildcard + in-code auth
copilot-chat,False,False,True,scoped-cors
copilot-chat-simple,True,False,True,wildcard + in-code auth
copilot-health,True,False,True,wildcard + in-code auth
copilot-router,True,False,True,wildcard + in-code auth
copilot-search,True,False,True,wildcard + in-code auth
copilot-stream,True,False,True,wildcard + in-code auth
dc-create-twin-from-recommendation,True,True,True,wildcard + in-code auth
dc-scan-url,True,True,True,wildcard + in-code auth
deterministic-recommendations,True,False,True,wildcard + in-code auth
digital-twin-create,False,False,False,scoped-cors
digital-twin-delete,False,False,False,scoped-cors
digital-twin-event,True,False,True,wildcard + in-code auth
digital-twin-get,False,False,False,scoped-cors
digital-twin-list,False,False,False,scoped-cors
digital-twin-run-get,True,False,True,wildcard + in-code auth
digital-twin-runs-list,True,False,True,wildcard + in-code auth
digital-twin-runtime,True,False,True,wildcard + in-code auth
digital-twin-update,False,False,False,scoped-cors
document-analysis-start,False,False,False,scoped-cors
document-analysis-status,False,False,False,scoped-cors
dsx-ingest,True,True,True,wildcard + in-code auth
funding-query,True,False,False,"wildcard, no service role"
funding-scraper,False,True,True,scoped-cors
generate-ai-recommendations,True,False,False,"wildcard, no service role"
